n,edge_prob,seed,algo,time,size,valid,opt_size,gap
12,0.1,2,Nhánh cận,0.00018889998318627477,8,True,8,0
12,0.1,2,Tham lam,2.509998739697039e-05,8,True,8,0
12,0.1,2,ACO,0.04553509998368099,8,True,8,0
16,0.1,0,Vét cạn,0.03232070000376552,10,True,10,0
16,0.1,0,Nhánh cận,0.0003699999942909926,10,True,10,0
16,0.1,0,Tham lam,5.709999823011458e-05,10,True,10,0
16,0.1,0,ACO,0.07926009999937378,10,True,10,0
16,0.1,1,Vét cạn,0.009128299978328869,7,True,7,0
16,0.1,1,Nhánh cận,0.0003952999832108617,7,True,7,0
16,0.1,1,Tham lam,3.2199983252212405e-05,7,True,7,0
16,0.1,1,ACO,0.05584899999666959,7,True,7,0
16,0.1,2,Vét cạn,0.007527200010372326,7,True,7,0
16,0.1,2,Nhánh cận,0.00011789999553002417,7,True,7,0
16,0.1,2,Tham lam,3.0099996365606785e-05,7,True,7,0
16,0.1,2,ACO,0.05431730000418611,7,True,7,0
20,0.1,0,Nhánh cận,0.000614699994912371,10,True,10,0
20,0.1,0,Tham lam,5.370000144466758e-05,11,True,10,1
20,0.1,0,ACO,0.09217740001622587,10,True,10,0
20,0.1,1,Nhánh cận,0.004116800002520904,8,True,8,0
20,0.1,1,Tham lam,5.0700007705017924e-05,8,True,8,0
20,0.1,1,ACO,0.1500712000124622,8,True,8,0
20,0.1,2,Nhánh cận,0.0015423999866470695,8,True,8,0
20,0.1,2,Tham lam,9.71999834291637e-05,9,True,8,1
20,0.1,2,ACO,0.20258820001618005,8,True,8,0
30,0.1,0,Nhánh cận,0.0065642000117804855,8,True,8,0
30,0.1,0,Tham lam,0.00014139999984763563,10,True,8,2
30,0.1,0,ACO,0.3272538000019267,8,True,8,0
30,0.1,1,Nhánh cận,0.02778159998706542,8,True,8,0
30,0.1,1,Tham lam,0.0004448999825399369,9,True,8,1
30,0.1,1,ACO,0.424394100002246,8,True,8,0
30,0.1,2,Nhánh cận,0.0049919000011868775,7,True,7,0
30,0.1,2,Tham lam,0.0002945000014733523,8,True,7,1
30,0.1,2,ACO,0.2626718000101391,7,True,7,0
50,0.1,0,Tham lam,0.00031800000579096377,10,True,,
50,0.1,0,ACO,0.6259996999870054,9,True,,
50,0.1,1,Tham lam,0.0004450000124052167,12,True,,
50,0.1,1,ACO,0.6880451000179164,10,True,,
50,0.1,2,Tham lam,0.0003436999977566302,13,True,,
50,0.1,2,ACO,0.6551041000057012,12,True,,
100,0.1,0,Tham lam,0.0014703999913763255,13,True,,
100,0.1,0,ACO,2.1359944000141695,12,True,,
100,0.1,1,Tham lam,0.0008581999863963574,16,True,,
100,0.1,1,ACO,1.4387814000074286,12,True,,
100,0.1,2,Tham lam,0.0007880999764893204,14,True,,
100,0.1,2,ACO,1.457228400016902,12,True,,
8,0.3,0,Vét cạn,4.300000728107989e-05,4,True,4,0
8,0.3,0,Nhánh cận,3.6200013710185885e-05,4,True,4,0
8,0.3,0,Tham lam,1.0500021744519472e-05,4,True,4,0
8,0.3,0,ACO,0.017836600018199533,4,True,4,0
8,0.3,1,Vét cạn,1.6400008462369442e-05,2,True,2,0
8,0.3,1,Nhánh cận,1.8099992303177714e-05,2,True,2,0
8,0.3,1,Tham lam,6.799993570894003e-06,2,True,2,0
8,0.3,1,ACO,0.011601899983361363,2,True,2,0
8,0.3,2,Vét cạn,4.530002479441464e-05,4,True,4,0
8,0.3,2,Nhánh cận,7.720000576227903e-05,4,True,4,0
8,0.3,2,Tham lam,1.09999964479357e-05,4,True,4,0
